KOD POCZTOWY;MIEJSCOWOŚĆ;WOJEWÓDZTWO;POWIAT
21-003;Ciecierzyn;lubelskie;lubelski
21-007;Mełgiew;lubelskie;świdnicki
21-008;Tomaszowice;lubelskie;lubelski
21-010;Łęczna;lubelskie;łęczyński
21-013;Puchaczów;lubelskie;łęczyński
21-020;Milejów;lubelskie;łęczyński
21-025;Niemce;lubelskie;lubelski
21-030;Motycz;lubelskie;lubelski
21-040;Świdnik;lubelskie;świdnicki
21-044;Trawniki;lubelskie;świdnicki
21-050;Piaski;lubelskie;świdnicki
21-060;Fajsławice;lubelskie;krasnostawski
21-065;Rybczewice;lubelskie;świdnicki
21-070;Cyców;lubelskie;łęczyński
21-075;Ludwin;lubelskie;łęczyński
21-077;Spiczyn;lubelskie;łęczyński
21-080;Garbów;lubelskie;lubelski
21-100;Lubartów;lubelskie;lubartowski
21-102;Ostrówek;lubelskie;lubartowski
21-104;Niedźwiada;lubelskie;lubartowski
21-107;Serniki;lubelskie;lubartowski
21-109;Uścimów;lubelskie;lubartowski
21-110;Ostrów Lubelski;lubelskie;lubartowski
21-132;Kamionka;lubelskie;lubartowski
21-136;Firlej;lubelskie;lubartowski
21-140;Michów;lubelskie;lubartowski
21-143;Abramów;lubelskie;lubartowski
21-146;Jeziorzany;lubelskie;lubartowski
21-150;Kock;lubelskie;lubartowski
21-200;Parczew;lubelskie;parczewski
21-205;Jabłoń;lubelskie;parczewski
21-210;Milanów;lubelskie;parczewski
21-211;Dębowa Kłoda;lubelskie;parczewski
21-213;Kodeniec;lubelskie;parczewski
21-220;Siemień;lubelskie;parczewski
21-222;Podedwórze;lubelskie;parczewski
21-230;Sosnowica;lubelskie;parczewski
21-300;Radzyń Podlaski;lubelskie;radzyński
21-302;Kąkolewnica Wschodnia;lubelskie;radzyński
21-305;Suchowola;lubelskie;radzyński
21-306;Czemierniki;lubelskie;radzyński
21-307;Ulan-Majorat;lubelskie;radzyński
21-310;Wohyń;lubelskie;radzyński
21-311;Komarówka Podlaska;lubelskie;radzyński
21-345;Borki;lubelskie;radzyński
21-400;Łuków;lubelskie;łukowski
21-404;Trzebieszów;lubelskie;łukowski
21-405;Zembry;lubelskie;łukowski
21-411;Wojcieszków;lubelskie;łukowski
21-412;Adamów;lubelskie;łukowski
21-413;Serokomla;lubelskie;łukowski
21-421;Tuchowicz;lubelskie;łukowski
21-422;Stanin;lubelskie;łukowski
21-425;Huta-Dąbrowa;lubelskie;łukowski
21-426;Wola Mysłowska;lubelskie;łukowski
21-450;Stoczek Łukowski;lubelskie;łukowski
21-470;Krzywda;lubelskie;łukowski
21-480;Okrzeja;lubelskie;łukowski
21-481;Wola Gułowska;lubelskie;łukowski
21-500;Biała Podlaska;lubelskie;Miasto Biała Podlaska
21-504;Rokitno;lubelskie;bialski
21-505;Janów Podlaski;lubelskie;bialski
21-509;Kodeń;lubelskie;bialski
21-512;Zalesie;lubelskie;bialski
21-515;Sławatycze;lubelskie;bialski
21-518;Sosnówka;lubelskie;bialski
21-523;Tuczna;lubelskie;bialski
21-526;Jabłeczna;lubelskie;bialski
21-530;Piszczac;lubelskie;bialski
21-532;Łomazy;lubelskie;bialski
21-533;Rossosz;lubelskie;bialski
21-536;Swory;lubelskie;bialski
21-540;Małaszewicze;lubelskie;bialski
21-542;Leśna Podlaska;lubelskie;bialski
21-543;Konstantynów;lubelskie;bialski
21-550;Terespol;lubelskie;bialski
21-560;Międzyrzec Podlaski;lubelskie;bialski
21-564;Tłuściec;lubelskie;bialski
21-570;Drelów;lubelskie;bialski
21-580;Wisznice;lubelskie;bialski
22-100;Chełm;lubelskie;Miasto Chełm
22-105;Okszów;lubelskie;chełmski
22-106;Czułczyce;lubelskie;chełmski
22-107;Sawin;lubelskie;chełmski
22-110;Ruda-Huta;lubelskie;chełmski
22-113;Kamień;lubelskie;chełmski
22-114;Żmudź;lubelskie;chełmski
22-120;Wojsławice;lubelskie;chełmski
22-122;Leśniowice;lubelskie;chełmski
22-130;Siedliszcze;lubelskie;chełmski
22-133;Nowe Chojno;lubelskie;chełmski
22-135;Białopole;lubelskie;chełmski
22-145;Dubienka;lubelskie;chełmski
22-150;Wierzbica;lubelskie;chełmski
22-151;Staw;lubelskie;chełmski
22-169;Rejowiec Fabryczny;lubelskie;chełmski
22-174;Brzeźno;lubelskie;chełmski
22-175;Dorohusk;lubelskie;chełmski
22-200;Włodawa;lubelskie;włodawski
22-205;Wyryki;lubelskie;włodawski
22-207;Żuków;lubelskie;włodawski
22-211;Różanka;lubelskie;włodawski
22-220;Hanna;lubelskie;włodawski
22-230;Wola Uhruska;lubelskie;włodawski
22-232;Okuninka;lubelskie;włodawski
22-234;Urszulin;lubelskie;włodawski
22-235;Hańsk Pierwszy;lubelskie;włodawski
22-244;Stary Brus;lubelskie;włodawski
22-300;Krasnystaw;lubelskie;krasnostawski
22-302;Siennica Nadolna;lubelskie;krasnostawski
22-304;Siennica Różana;lubelskie;krasnostawski
22-310;Kraśniczyn;lubelskie;krasnostawski
22-315;Gorzków;lubelskie;krasnostawski
22-330;Rudnik;lubelskie;krasnostawski
22-335;Żółkiewka-Osada;lubelskie;krasnostawski
22-351;Łopiennik Górny;lubelskie;krasnostawski
22-360;Rejowiec;lubelskie;krasnostawski
22-363;Zawadówka;lubelskie;chełmski
22-375;Izbica;lubelskie;krasnostawski
22-376;Orłów Murowany;lubelskie;krasnostawski
22-400;Zamość;lubelskie;Miasto Zamość
22-413;Nielisz;lubelskie;zamojski
22-417;Stary Zamość;lubelskie;zamojski
22-420;Skierbieszów;lubelskie;zamojski
22-424;Sitno;lubelskie;zamojski
22-425;Grabowiec;lubelskie;zamojski
22-435;Komarów-Osada;lubelskie;zamojski
22-437;Łabunie;lubelskie;zamojski
22-440;Krasnobród;lubelskie;zamojski
22-442;Adamów;lubelskie;zamojski
22-448;Sułów;lubelskie;zamojski
22-450;Zawada;lubelskie;zamojski
22-455;Miączyn;lubelskie;zamojski
22-457;Horyszów;lubelskie;zamojski
22-460;Szczebrzeszyn;lubelskie;zamojski
22-461;Michalów;lubelskie;zamojski
22-463;Radecznica;lubelskie;zamojski
22-470;Zwierzyniec;lubelskie;zamojski
22-500;Hrubieszów;lubelskie;hrubieszowski
22-510;Uchanie;lubelskie;hrubieszowski
22-523;Horodło;lubelskie;hrubieszowski
22-525;Strzyżów;lubelskie;hrubieszowski
22-530;Mircze;lubelskie;hrubieszowski
22-540;Dołhobyczów;lubelskie;hrubieszowski
22-546;Turkowice;lubelskie;hrubieszowski
22-550;Werbkowice;lubelskie;hrubieszowski
22-554;Trzeszczany Pierwsze;lubelskie;hrubieszowski
22-565;Nieledew;lubelskie;hrubieszowski
22-600;Tomaszów Lubelski;lubelskie;tomaszowski
22-604;Tarnawatka;lubelskie;tomaszowski
22-610;Krynice;lubelskie;tomaszowski
22-630;Tyszowce;lubelskie;tomaszowski
22-640;Rachanie;lubelskie;tomaszowski
22-650;Łaszczów;lubelskie;tomaszowski
22-652;Telatyn;lubelskie;tomaszowski
22-664;Jarczów;lubelskie;tomaszowski
22-670;Bełżec;lubelskie;tomaszowski
22-671;Majdan Sopocki;lubelskie;tomaszowski
22-672;Susiec;lubelskie;tomaszowski
22-678;Ulhówek;lubelskie;tomaszowski
22-680;Lubycza Królewska;lubelskie;tomaszowski
22-681;Hrebenne;lubelskie;tomaszowski
23-100;Bychawa;lubelskie;lubelski
23-107;Strzyżewice;lubelskie;lubelski
23-109;Pszczela Wola;lubelskie;lubelski
23-110;Krzczonów;lubelskie;lubelski
23-114;Piotrków Pierwszy;lubelskie;lubelski
23-145;Wysokie;lubelskie;lubelski
23-155;Zakrzew;lubelskie;lubelski
23-156;Dębina;lubelskie;lubelski
23-200;Kraśnik;lubelskie;kraśnicki
23-205;Popkowice;lubelskie;kraśnicki
23-206;Stróża;lubelskie;kraśnicki
23-212;Wilkołaz;lubelskie;kraśnicki
23-213;Zakrzówek;lubelskie;kraśnicki
23-225;Szastarka;lubelskie;kraśnicki
23-230;Trzydnik Duży;lubelskie;kraśnicki
23-231;Olbięcin;lubelskie;kraśnicki
23-235;Annopol;lubelskie;kraśnicki
23-250;Urzędów;lubelskie;kraśnicki
23-251;Dzierzkowice;lubelskie;kraśnicki
23-275;Gościeradów Ukazowy;lubelskie;kraśnicki
23-300;Janów Lubelski;lubelskie;janowski
23-302;Godziszów;lubelskie;janowski
23-304;Dzwola;lubelskie;janowski
23-305;Chrzanów;lubelskie;janowski
23-310;Modliborzyce;lubelskie;janowski
23-313;Potok Wielki;lubelskie;janowski
23-320;Batorz;lubelskie;janowski
23-400;Biłgoraj;lubelskie;biłgorajski
23-407;Tereszpol;lubelskie;biłgorajski
23-408;Aleksandrów;lubelskie;biłgorajski
23-412;Łukowa;lubelskie;biłgorajski
23-413;Obsza;lubelskie;biłgorajski
23-414;Stary Majdan;lubelskie;biłgorajski
23-415;Księżpol;lubelskie;biłgorajski
23-420;Tarnogród;lubelskie;biłgorajski
23-423;Potok Górny;lubelskie;biłgorajski
23-425;Biszcza;lubelskie;biłgorajski
23-440;Frampol;lubelskie;biłgorajski
23-450;Goraj;lubelskie;biłgorajski
23-460;Józefów;lubelskie;biłgorajski
23-465;Turobin;lubelskie;biłgorajski
24-100;Puławy;lubelskie;puławski
24-101;Gołąb;lubelskie;puławski
24-103;Żyrzyn;lubelskie;puławski
24-105;Baranów;lubelskie;puławski
24-120;Kazimierz Dolny;lubelskie;puławski
24-123;Janowiec;lubelskie;puławski
24-130;Końskowola;lubelskie;puławski
24-140;Nałęczów;lubelskie;puławski
24-160;Wąwolnica;lubelskie;puławski
24-170;Kurów;lubelskie;puławski
24-173;Markuszów;lubelskie;puławski
24-200;Bełżyce;lubelskie;lubelski
24-204;Wojciechów;lubelskie;lubelski
24-220;Niedrzwica Duża;lubelskie;lubelski
24-224;Borzechów;lubelskie;lubelski
24-300;Opole Lubelskie;lubelskie;opolski
24-310;Karczmiska Pierwsze;lubelskie;opolski
24-313;Wilków;lubelskie;opolski
24-320;Poniatowa;lubelskie;opolski
24-333;Wrzelowiec;lubelskie;opolski
24-335;Łaziska;lubelskie;opolski
24-340;Józefów;lubelskie;opolski
24-350;Chodel;lubelskie;opolski
25-001;Kielce;świętokrzyskie;Miasto Kielce
26-001;Masłów;świętokrzyskie;kielecki
26-004;Bieliny Kapitulne;świętokrzyskie;kielecki
26-006;Nowa Słupia;świętokrzyskie;kielecki
26-008;Górno;świętokrzyskie;kielecki
26-010;Bodzentyn;świętokrzyskie;kielecki
26-015;Pierzchnica;świętokrzyskie;kielecki
26-020;Chmielnik;świętokrzyskie;kielecki
26-021;Daleszyce;świętokrzyskie;kielecki
26-025;Łagów;świętokrzyskie;kielecki
26-026;Morawica;świętokrzyskie;kielecki
26-035;Raków;świętokrzyskie;kielecki
26-050;Zagnańsk;świętokrzyskie;kielecki
26-052;Sitkówka-Nowiny;świętokrzyskie;kielecki
26-060;Chęciny;świętokrzyskie;kielecki
26-065;Piekoszów;świętokrzyskie;kielecki
26-067;Strawczyn;świętokrzyskie;kielecki
26-070;Łopuszno;świętokrzyskie;kielecki
26-080;Mniów;świętokrzyskie;kielecki
26-085;Miedziana Góra;świętokrzyskie;kielecki
26-100;Skarżysko-Kamienna;świętokrzyskie;skarżyski
26-115;Skarżysko Kościelne;świętokrzyskie;skarżyski
26-120;Bliżyn;świętokrzyskie;skarżyski
26-130;Suchedniów;świętokrzyskie;skarżyski
26-140;Łączna;świętokrzyskie;skarżyski
26-200;Końskie;świętokrzyskie;konecki
26-212;Smyków;świętokrzyskie;konecki
26-220;Stąporków;świętokrzyskie;konecki
26-225;Gowarczów;świętokrzyskie;konecki
26-230;Radoszyce;świętokrzyskie;konecki
26-234;Słupia;świętokrzyskie;konecki
26-242;Ruda Maleniecka;świętokrzyskie;konecki
26-260;Fałków;świętokrzyskie;konecki
26-300;Opoczno;łódzkie;opoczyński
26-307;Białaczów;łódzkie;opoczyński
26-315;Poświętne;łódzkie;opoczyński
26-330;Żarnów;łódzkie;opoczyński
26-332;Sławno;łódzkie;opoczyński
26-333;Paradyż;łódzkie;opoczyński
26-337;Aleksandrów;łódzkie;piotrkowski
26-340;Drzewica;łódzkie;opoczyński
26-341;Mniszków;łódzkie;opoczyński
26-400;Przysucha;mazowieckie;przysuski
26-411;Rusinów;mazowieckie;przysuski
26-414;Potworów;mazowieckie;przysuski
26-415;Klwów;mazowieckie;przysuski
26-420;Nowe Miasto nad Pilicą;mazowieckie;grójecki
26-422;Borkowice;mazowieckie;przysuski
26-425;Odrzywół;mazowieckie;przysuski
26-432;Wieniawa;mazowieckie;przysuski
26-434;Gielniów;mazowieckie;przysuski
26-500;Szydłowiec;mazowieckie;szydłowiecki
26-502;Jastrząb;mazowieckie;szydłowiecki
26-503;Mirów Stary;mazowieckie;szydłowiecki
26-505;Orońsko;mazowieckie;szydłowiecki
26-510;Chlewiska;mazowieckie;szydłowiecki
26-600;Radom;mazowieckie;Miasto Radom
26-624;Kowala;mazowieckie;radomski
26-625;Wolanów;mazowieckie;radomski
26-630;Jedlnia-Letnisko;mazowieckie;radomski
26-631;Jastrzębia;mazowieckie;radomski
26-634;Gózd;mazowieckie;radomski
26-640;Skaryszew;mazowieckie;radomski
26-650;Przytyk;mazowieckie;radomski
26-652;Zakrzew;mazowieckie;radomski
26-660;Jedlińsk;mazowieckie;radomski
26-670;Pionki;mazowieckie;radomski
26-680;Wierzbica;mazowieckie;radomski
26-700;Zwoleń;mazowieckie;zwoleński
26-704;Przyłęk;mazowieckie;zwoleński
26-706;Tczów;mazowieckie;zwoleński
26-713;Kazanów;mazowieckie;zwoleński
26-720;Policzna;mazowieckie;zwoleński
26-800;Białobrzegi;mazowieckie;białobrzeski
26-803;Promna;mazowieckie;białobrzeski
26-804;Stromiec;mazowieckie;białobrzeski
26-806;Stara Błotnica;mazowieckie;białobrzeski
26-807;Radzanów;mazowieckie;białobrzeski
26-811;Wyśmierzyce;mazowieckie;białobrzeski
26-900;Kozienice;mazowieckie;kozienicki
26-902;Grabów nad Pilicą;mazowieckie;kozienicki
26-903;Głowaczów;mazowieckie;kozienicki
26-910;Magnuszew;mazowieckie;kozienicki
26-920;Gniewoszów;mazowieckie;kozienicki
26-922;Sieciechów;mazowieckie;kozienicki
26-930;Garbatka-Letnisko;mazowieckie;kozienicki
27-100;Iłża;mazowieckie;radomski
27-200;Starachowice;świętokrzyskie;starachowicki
27-215;Wąchock;świętokrzyskie;starachowicki
27-220;Mirzec;świętokrzyskie;starachowicki
27-225;Pawłów;świętokrzyskie;starachowicki
27-230;Brody;świętokrzyskie;starachowicki
27-300;Lipsko;mazowieckie;lipski
27-310;Ciepielów;mazowieckie;lipski
27-312;Chotcza-Józefów;mazowieckie;lipski
27-320;Solec nad Wisłą;mazowieckie;lipski
27-330;Pawłowice;mazowieckie;lipski
27-350;Sienno;mazowieckie;lipski
27-353;Rzeczniów;mazowieckie;lipski
27-400;Ostrowiec Świętokrzyski;świętokrzyskie;ostrowiecki
27-415;Kunów;świętokrzyskie;ostrowiecki
27-420;Bodzechów;świętokrzyskie;ostrowiecki
27-423;Bałtów;świętokrzyskie;ostrowiecki
27-425;Waśniów;świętokrzyskie;ostrowiecki
27-440;Ćmielów;świętokrzyskie;ostrowiecki
27-500;Opatów;świętokrzyskie;opatowski
27-515;Tarłów;świętokrzyskie;opatowski
27-530;Ożarów;świętokrzyskie;opatowski
27-532;Wojciechowice;świętokrzyskie;opatowski
27-540;Lipnik;świętokrzyskie;opatowski
27-545;Włostów;świętokrzyskie;opatowski
27-552;Baćkowice;świętokrzyskie;opatowski
27-570;Iwaniska;świętokrzyskie;opatowski
27-580;Sadowie;świętokrzyskie;opatowski
27-600;Sandomierz;świętokrzyskie;sandomierski
27-612;Wilczyce;świętokrzyskie;sandomierski
27-620;Dwikozy;świętokrzyskie;sandomierski
27-630;Zawichost;świętokrzyskie;sandomierski
27-640;Klimontów;świętokrzyskie;sandomierski
27-641;Obrazów;świętokrzyskie;sandomierski
27-650;Samborzec;świętokrzyskie;sandomierski
27-660;Koprzywnica;świętokrzyskie;sandomierski
27-670;Łoniów;świętokrzyskie;sandomierski
28-101;Busko-Zdrój;świętokrzyskie;buski
28-114;Gnojno;świętokrzyskie;buski
28-130;Stopnica;świętokrzyskie;buski
28-131;Solec-Zdrój;świętokrzyskie;buski
28-133;Pacanów;świętokrzyskie;buski
28-136;Nowy Korczyn;świętokrzyskie;buski
28-142;Tuczępy;świętokrzyskie;buski
28-160;Wiślica;świętokrzyskie;buski
28-203;Staszów;świętokrzyskie;staszowski
28-210;Bogoria;świętokrzyskie;staszowski
28-220;Oleśnica;świętokrzyskie;staszowski
28-221;Osiek;świętokrzyskie;staszowski
28-225;Szydłów;świętokrzyskie;staszowski
28-230;Połaniec;świętokrzyskie;staszowski
28-232;Łubnice;świętokrzyskie;staszowski
28-236;Rytwiany;świętokrzyskie;staszowski
28-300;Jędrzejów;świętokrzyskie;jędrzejowski
28-305;Sobków;świętokrzyskie;jędrzejowski
28-313;Imielno;świętokrzyskie;jędrzejowski
28-330;Wodzisław;świętokrzyskie;jędrzejowski
28-340;Sędziszów;świętokrzyskie;jędrzejowski
28-350;Słupia;świętokrzyskie;jędrzejowski
28-362;Nagłowice;świętokrzyskie;jędrzejowski
28-363;Oksa;świętokrzyskie;jędrzejowski
28-366;Małogoszcz;świętokrzyskie;jędrzejowski
28-400;Pińczów;świętokrzyskie;pińczowski
28-404;Kije;świętokrzyskie;pińczowski
28-411;Michałów;świętokrzyskie;pińczowski
28-425;Złota;świętokrzyskie;pińczowski
28-440;Działoszyce;świętokrzyskie;pińczowski
28-500;Kazimierza Wielka;świętokrzyskie;kazimierski
28-506;Czarnocin;świętokrzyskie;kazimierski
28-512;Bejsce;świętokrzyskie;kazimierski
28-520;Opatowiec;świętokrzyskie;kazimierski
28-530;Skalbmierz;świętokrzyskie;kazimierski
29-100;Włoszczowa;świętokrzyskie;włoszczowski
29-105;Krasocin;świętokrzyskie;włoszczowski
29-120;Kluczewsko;świętokrzyskie;włoszczowski
29-130;Moskorzew;świętokrzyskie;włoszczowski
29-135;Radków;świętokrzyskie;włoszczowski
29-145;Secemin;świętokrzyskie;włoszczowski
30-001;Kraków;małopolskie;Miasto Kraków
32-002;Węgrzce Wielkie;małopolskie;wielicki
32-003;Podłęże;małopolskie;wielicki
32-005;Niepołomice;małopolskie;wielicki
32-007;Zabierzów Bocheński;małopolskie;wielicki
32-010;Luborzyca;małopolskie;krakowski
32-013;Niegowić;małopolskie;wielicki
32-014;Brzezie;małopolskie;wielicki
32-015;Kłaj;małopolskie;wielicki
32-020;Wieliczka;małopolskie;wielicki
32-031;Mogilany;małopolskie;krakowski
32-040;Świątniki Górne;małopolskie;krakowski
32-043;Skała;małopolskie;krakowski
32-045;Sułoszowa;małopolskie;krakowski
32-046;Minoga;małopolskie;krakowski
32-047;Ojców;małopolskie;krakowski
32-048;Jerzmanowice;małopolskie;krakowski
32-049;Przeginia;małopolskie;krakowski
32-050;Skawina;małopolskie;krakowski
32-051;Wielkie Drogi;małopolskie;krakowski
32-052;Radziszów;małopolskie;krakowski
32-053;Wola Radziszowska;małopolskie;krakowski
32-060;Liszki;małopolskie;krakowski
32-061;Rybna;małopolskie;krakowski
32-064;Rudawa;małopolskie;krakowski
32-065;Krzeszowice;małopolskie;krakowski
32-067;Tenczynek;małopolskie;krakowski
32-070;Czernichów;małopolskie;krakowski
32-071;Kamień;małopolskie;krakowski
32-075;Gołcza;małopolskie;miechowski
32-077;Smardzowice;małopolskie;krakowski
32-080;Zabierzów;małopolskie;krakowski
32-082;Bolechowice;małopolskie;krakowski
32-083;Balice;małopolskie;krakowski
32-084;Morawica;małopolskie;krakowski
32-085;Modlnica;małopolskie;krakowski
32-086;Węgrzce;małopolskie;krakowski
32-087;Zielonki;małopolskie;krakowski
32-088;Przybysławice;małopolskie;krakowski
32-089;Wielka Wieś;małopolskie;krakowski
32-090;Słomniki;małopolskie;krakowski
32-091;Michałowice-Osiedle;małopolskie;krakowski
32-095;Iwanowice Włościańskie;małopolskie;krakowski
32-100;Proszowice;małopolskie;proszowicki
32-104;Koniusza;małopolskie;proszowicki
32-107;Radziemice;małopolskie;proszowicki
32-109;Pałecznica;małopolskie;proszowicki
32-112;Klimontów;małopolskie;proszowicki
32-120;Nowe Brzesko;małopolskie;proszowicki
32-125;Wawrzeńczyce;małopolskie;krakowski
32-126;Igołomia;małopolskie;krakowski
32-130;Koszyce;małopolskie;proszowicki
32-200;Miechów;małopolskie;miechowski
32-210;Książ Wielki;małopolskie;miechowski
32-218;Słaboszów;małopolskie;miechowski
32-222;Racławice;małopolskie;miechowski
32-241;Kozłów;małopolskie;miechowski
32-250;Charsznica;małopolskie;miechowski
32-300;Olkusz;małopolskie;olkuski
32-310;Klucze;małopolskie;olkuski
32-312;Jaroszowiec;małopolskie;olkuski
32-327;Gorenice;małopolskie;olkuski
32-329;Bolesław;małopolskie;olkuski
32-332;Bukowno;małopolskie;olkuski
32-340;Wolbrom;małopolskie;olkuski
32-353;Trzyciąż;małopolskie;olkuski
32-400;Myślenice;małopolskie;myślenicki
32-406;Zakliczyn;małopolskie;myślenicki
32-410;Dobczyce;małopolskie;myślenicki
32-412;Wiśniowa;małopolskie;myślenicki
32-413;Zegartowice;małopolskie;myślenicki
32-414;Gruszów;małopolskie;myślenicki
32-415;Raciechowice;małopolskie;myślenicki
32-420;Gdów;małopolskie;wielicki
32-422;Stadniki;małopolskie;myślenicki
32-425;Trzemeśnia;małopolskie;myślenicki
32-431;Stróża;małopolskie;myślenicki
32-432;Pcim;małopolskie;myślenicki
32-433;Lubień;małopolskie;myślenicki
32-434;Skomielna Biała;małopolskie;myślenicki
32-435;Krzczonów;małopolskie;myślenicki
32-436;Tokarnia;małopolskie;myślenicki
32-437;Skomielna Czarna;małopolskie;myślenicki
32-438;Trzebunia;małopolskie;myślenicki
32-440;Sułkowice;małopolskie;myślenicki
32-442;Krzywaczka;małopolskie;myślenicki
32-444;Głogoczów;małopolskie;myślenicki
32-445;Krzyszkowice;małopolskie;myślenicki
32-447;Siepraw;małopolskie;myślenicki
32-500;Chrzanów;małopolskie;chrzanowski
32-530;Trzebinia;małopolskie;chrzanowski
32-543;Myślachowice;małopolskie;chrzanowski
32-545;Karniowice;małopolskie;chrzanowski
32-546;Młoszowa;małopolskie;chrzanowski
32-551;Babice;małopolskie;chrzanowski
32-552;Płaza;małopolskie;chrzanowski
32-566;Alwernia;małopolskie;chrzanowski
32-590;Libiąż;małopolskie;chrzanowski
32-600;Oświęcim;małopolskie;oświęcimski
32-607;Polanka Wielka;małopolskie;oświęcimski
32-608;Osiek;małopolskie;oświęcimski
32-615;Grojec;małopolskie;oświęcimski
32-620;Brzeszcze;małopolskie;oświęcimski
32-625;Przecieszyn;małopolskie;oświęcimski
32-626;Jawiszowice;małopolskie;oświęcimski
32-640;Zator;małopolskie;oświęcimski
32-641;Przeciszów;małopolskie;oświęcimski
32-642;Włosienica;małopolskie;oświęcimski
32-650;Kęty;małopolskie;oświęcimski
32-651;Nowa Wieś;małopolskie;oświęcimski
32-652;Bulowice;małopolskie;oświęcimski
32-660;Chełmek;małopolskie;oświęcimski
32-661;Bobrek;małopolskie;oświęcimski
32-700;Bochnia;małopolskie;bocheński
32-708;Dziewin;małopolskie;bocheński
32-709;Drwinia;małopolskie;bocheński
32-711;Bogucice;małopolskie;bocheński
32-712;Bratucice;małopolskie;bocheński
32-720;Nowy Wiśnicz;małopolskie;bocheński
32-722;Królówka;małopolskie;bocheński
32-724;Lipnica Murowana;małopolskie;bocheński
32-725;Rajbrot;małopolskie;bocheński
32-731;Żegocina;małopolskie;bocheński
32-732;Kamionna;małopolskie;bocheński
32-733;Trzciana;małopolskie;bocheński
32-740;Łapanów;małopolskie;bocheński
32-741;Tarnawa;małopolskie;bocheński
32-742;Sobolów;małopolskie;bocheński
32-744;Łapczyca;małopolskie;bocheński
32-765;Rzezawa;małopolskie;bocheński
32-800;Brzesko;małopolskie;brzeski
32-813;Uście Solne;małopolskie;brzeski
32-820;Szczurowa;małopolskie;brzeski
32-821;Zaborów;małopolskie;brzeski
32-822;Strzelce Wielkie;małopolskie;brzeski
32-823;Szczepanów;małopolskie;brzeski
32-824;Bielcza;małopolskie;brzeski
32-825;Borzęcin;małopolskie;brzeski
32-828;Biadoliny Szlacheckie;małopolskie;brzeski
32-830;Wojnicz;małopolskie;tarnowski
32-831;Olszyny;małopolskie;tarnowski
32-840;Zakliczyn;małopolskie;tarnowski
32-842;Paleśnica;małopolskie;tarnowski
32-851;Jadowniki;małopolskie;brzeski
32-852;Dębno;małopolskie;brzeski
32-853;Łysa Góra;małopolskie;brzeski
32-854;Porąbka Uszewska;małopolskie;brzeski
32-859;Złota;małopolskie;brzeski
32-860;Czchów;małopolskie;brzeski
32-861;Iwkowa;małopolskie;brzeski
32-862;Porąbka Iwkowska;małopolskie;brzeski
32-863;Tymowa;małopolskie;brzeski
32-864;Gnojnik;małopolskie;brzeski
32-865;Uszew;małopolskie;brzeski
33-100;Tarnów;małopolskie;Miasto Tarnów
33-111;Koszyce Wielkie;małopolskie;tarnowski
33-112;Tarnowiec;małopolskie;tarnowski
33-113;Zgłobice;małopolskie;tarnowski
33-114;Rzuchowa;małopolskie;tarnowski
33-115;Janowice;małopolskie;tarnowski
33-121;Bogumiłowice;małopolskie;tarnowski
33-122;Wierzchosławice;małopolskie;tarnowski
33-130;Radłów;małopolskie;tarnowski
33-131;Łęg Tarnowski;małopolskie;tarnowski
33-132;Niedomice;małopolskie;tarnowski
33-133;Wał-Ruda;małopolskie;tarnowski
33-140;Lisia Góra;małopolskie;tarnowski
33-150;Wola Rzędzińska;małopolskie;tarnowski
33-151;Nowa Jastrząbka;małopolskie;tarnowski
33-152;Pogórska Wola;małopolskie;tarnowski
33-156;Skrzyszów;małopolskie;tarnowski
33-158;Szynwałd;małopolskie;tarnowski
33-159;Zalasowa;małopolskie;tarnowski
33-160;Ryglice;małopolskie;tarnowski
33-161;Kowalowa;małopolskie;tarnowski
33-162;Lubcza;małopolskie;tarnowski
33-163;Rzepiennik Strzyżewski;małopolskie;tarnowski
33-167;Turza;małopolskie;tarnowski
33-170;Tuchów;małopolskie;tarnowski
33-171;Pleśna;małopolskie;tarnowski
33-172;Siedliska;małopolskie;tarnowski
33-173;Jodłówka Tuchowska;małopolskie;tarnowski
33-180;Gromnik;małopolskie;tarnowski
33-181;Siemiechów;małopolskie;tarnowski
33-182;Brzozowa;małopolskie;tarnowski
33-190;Ciężkowice;małopolskie;tarnowski
33-191;Jastrzębia;małopolskie;tarnowski
33-192;Bruśnik;małopolskie;tarnowski
33-200;Dąbrowa Tarnowska;małopolskie;dąbrowski
33-202;Smęgorzów;małopolskie;dąbrowski
33-203;Borki;małopolskie;dąbrowski
33-205;Nieczajna Dolna;małopolskie;dąbrowski
33-206;Luszowice;małopolskie;dąbrowski
33-207;Radgoszcz;małopolskie;dąbrowski
33-210;Olesno;małopolskie;dąbrowski
33-220;Bolesław;małopolskie;dąbrowski
33-221;Mędrzechów;małopolskie;dąbrowski
33-230;Szczucin;małopolskie;dąbrowski
33-240;Żabno;małopolskie;tarnowski
33-250;Otfinów;małopolskie;tarnowski
33-260;Gręboszów;małopolskie;dąbrowski
33-263;Zalipie;małopolskie;dąbrowski
33-264;Ćwików;małopolskie;dąbrowski
33-270;Wietrzychowice;małopolskie;tarnowski
33-271;Jadowniki Mokre;małopolskie;tarnowski
33-273;Marcinkowice;małopolskie;tarnowski
33-300;Nowy Sącz;małopolskie;Miasto Nowy Sącz
33-311;Wielogłowy;małopolskie;nowosądecki
33-312;Tęgoborze;małopolskie;nowosądecki
